"cnpj","nome_coop","auditorIndependente"
43730498,"COOPERATIVA DE CRÉDITO DOS EMPREGADOS DE ELEVADORES ATLAS","PADRAO AUDITORIA S/S"
64293582,"COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO GRUPO VALLOUREC NO BRASIL - COOVALL LTDA.","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES"
8075352,"COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS E EMPREGADOS DOS TRANSPORTES E CORREIOS DO SUL DO BRASIL - TRANSPOCRED","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA"
44746352,"COOPERATIVA DE CRÉDITO DOS FORNECEDORES DE CANA DE BARRA BONITA E REGIÃO","CONTROL AUDITORIA E CONTABILIDADE"
11356599,"COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DA PERPART, DO IPA E DA ADAGRO - COOPEMATER","EDUARDO AUGUSTO MELERE"
3657230,"COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DO GRUPO PPG","CONTROL AUDITORIA E CONTABILIDADE"
5040680,"COOPERATIVA DE CRÉDITO DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO LTDA. - MAGICREDI-RJ","JPS-AUDITORES & CONSULTORES"
5740092,"COOPERATIVA DE CRÉDITO DOS METALÚRGICOS DO ABC - CREDABC","ANEND AUDITORES INDEPENDENTES"
8143326,"COOPERATIVA DE CRÉDITO DOS MÉDICOS E PROFISSIONAIS DE SAÚDE DE SÃO LUÍS - SICREDI SÃO LUÍS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
71884498,"COOPERATIVA DE CRÉDITO DOS MÉDICOS, DENTISTAS, PROFISSIONAIS DA ÁREA DE SAÚDE E DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO LTDA. - UNICRED DO ESTADO DE SÃO PAULO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
36900256,"COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
70937271,"COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA ÁREA DA SAÚDE E DE LIVRE ADMISSÃO LTDA - UNICRED ALIANÇA","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA"
71418784,"COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA SAÚDE E LIVRE ADMISSÃO DO SUL DE MINAS LTDA. - UNICRED SUL DE MINAS","SACHO - AUDITORES INDEPENDENTES"
